channel,categoryName,categoryId,publishedAt,viewCount,likeCount,commentCount
Mythri Movie Makers,Entertainment,24,2025-04-04T15:45:01Z,37817200,642549,33046
Dimple Malhan Vlogs,People & Blogs,22,2025-04-04T07:35:00Z,3642558,184914,4300
HUM TV,Entertainment,24,2025-04-03T16:01:01Z,19614358,405617,10667
Manisha Rani,Entertainment,24,2025-04-04T04:32:04Z,2525748,145861,5498
Dharma Productions,Film & Animation,1,2025-04-03T07:00:02Z,29476377,328434,16584
Sithara Entertainments,Entertainment,24,2025-04-04T15:53:35Z,629397,25006,550
LOL (Life of Limbachiyaaâ€™s),Entertainment,24,2025-04-04T14:09:02Z,1509978,79376,5671
Lovely Gaming,Gaming,20,2025-04-04T13:15:10Z,389678,18385,874
Dreamz Unlimited,Entertainment,24,2025-04-04T14:46:02Z,302044,32554,1960
S8UL,Gaming,20,2025-04-04T15:37:48Z,559871,82814,5000
Amrita TV Cookery Show,Howto & Style,26,2025-04-04T16:15:00Z,181675,1979,230
DC,Film & Animation,1,2025-04-03T21:00:06Z,7645251,318334,17490
Thugesh,Entertainment,24,2025-04-03T15:04:23Z,1868712,110919,4296
Aashirvad Cinemas,Music,10,2025-04-03T13:29:40Z,1146197,51982,3046
MS Talkies,Entertainment,24,2025-04-04T14:50:01Z,200066,3562,31
Sri Venkateswara Cine Chitra,Entertainment,24,2025-04-03T05:37:01Z,8030804,103624,1692
Rehaan Records,Music,10,2025-04-03T12:31:02Z,7362937,139388,9053
Money Pechu,News & Politics,25,2025-04-04T13:30:26Z,300215,8339,731
FilterCopy,Comedy,23,2025-04-04T12:15:01Z,441624,19637,1104
IANS TV,News & Politics,25,2025-04-04T15:04:36Z,189352,2288,182
Filmy React,Entertainment,24,2025-04-04T17:16:08Z,86799,6249,122
Jhankar Music Gujarati,Music,10,2025-04-04T01:32:00Z,212366,6500,176
ARY Digital HD,Entertainment,24,2025-04-04T16:00:03Z,2666495,36448,672
Saregama Hum Bhojpuri,Music,10,2025-04-04T01:30:07Z,943924,39297,2545
Saregama Malayalam,Music,10,2025-04-04T12:42:21Z,896035,19238,1738
SlayyPop,Gaming,20,2025-04-02T09:28:22Z,1649101,61214,2980
Ahaana Krishna,Entertainment,24,2025-04-04T09:13:41Z,168194,4632,229
Nischay Malhan,Education,27,2025-04-02T10:34:01Z,2819103,117427,2029
SOUL Regaltos,Gaming,20,2025-04-05T04:32:38Z,281145,41180,1642
Tasty Teja,Entertainment,24,2025-04-04T12:30:06Z,176247,4173,49
Sun TV,Entertainment,24,2025-04-04T16:58:15Z,958448,12728,1126
Hussain Manimegalai,Entertainment,24,2025-04-04T12:15:50Z,295755,10351,276
JioStudios,Entertainment,24,2025-04-04T05:30:23Z,986838,12042,351
Saregama Tamil,Film & Animation,1,2025-04-01T11:30:07Z,10668143,212470,3618
Vj Siddhu Vlogs,People & Blogs,22,2025-04-04T10:00:07Z,2343748,149019,1537
Prime Video India,Entertainment,24,2025-04-03T08:30:20Z,2245631,85317,2574
HUM TV,Entertainment,24,2025-04-03T17:00:50Z,11659936,257026,9915
Dimple Malhan Vlogs,People & Blogs,22,2025-04-02T07:30:03Z,3197307,142527,2274
Sourav Joshi Vlogs,People & Blogs,22,2025-04-05T02:30:32Z,3690823,162483,5762
bharatzkitchen HINDI,People & Blogs,22,2025-04-03T10:38:28Z,421600,5652,207
KRAFTON INDIA ESPORTS,Gaming,20,2025-04-02T15:20:50Z,2129133,62776,223
Nova Spiritual India,Music,10,2025-04-03T01:30:07Z,267381,1807,113
Girliyapa,Entertainment,24,2025-04-04T06:30:06Z,175526,7930,150
Vijay Television,Entertainment,24,2025-04-03T05:53:10Z,2456948,30883,268
HUM TV,Entertainment,24,2025-04-03T16:30:18Z,6732165,88383,1747
Vijay Television,Entertainment,24,2025-04-03T05:54:45Z,2498490,36803,558
Sourav Joshi Vlogs,People & Blogs,22,2025-04-04T02:30:16Z,4282002,203998,6590
Parithabangal,Comedy,23,2025-04-03T11:30:25Z,1994317,92295,3328
Dream Warrior Pictures,Film & Animation,1,2025-04-03T11:59:48Z,149240,1433,17
Vijay Television,Entertainment,24,2025-04-03T12:44:03Z,2696800,46507,1627
